transition,lci,median,uci,minus,plus
ZS.to.AS,0,0,0,0,0
AF.to.AS,1.435,1.49,1.561,0.055,0.071
AS.to.ZS,0,0,0,0,0
ZF.to.ZS,15.27,15.475,15.79,0.205,0.315
AS.to.AF,0.945,0.959,0.97,0.014,0.011
ZF.to.AF,37.441,37.97,38.433,0.529,0.463
ZS.to.ZF,0,0,0,0,0
AF.to.ZF,16.958,17.089,17.211,0.131,0.122
