transition,lci,median,uci,minus,plus
ZS.to.AS,15.027,15.692,16.457,0.665,0.765
AMS.to.AS,3.343,4.278,5.415,0.935,1.137
AS.to.ZS,0,0,0,0,0
ZMS.to.ZS,14.07,22.021,26.303,7.951,4.282
AS.to.AMS,1.322,1.371,1.419,0.049,0.048
ZMS.to.AMS,0,0,0,0,0
AMF.to.AMS,2.544,3.146,7.07,0.602,3.924
ZS.to.ZMS,0,0,0,0,0
AMS.to.ZMS,0,0,0,0,0
ZMF.to.ZMS,1.442,1.52,1.575,0.078,0.055
AMS.to.AMF,15.36,16.843,18.75,1.483,1.907
ZMF.to.AMF,0,0,0,0,0
AF.to.AMF,71.021,75.04,78.21,4.019,3.17
ZMS.to.ZMF,0,0,0,0,0
AMF.to.ZMF,3.485,3.657,3.831,0.172,0.174
ZF.to.ZMF,15.86,16.573,17.399,0.713,0.826
AMF.to.AF,14.407,14.979,15.588,0.572,0.609
ZF.to.ZF,6529.637,7584.814,9717.794,1055.177,2132.98
ZMF.to.ZF,0,0,0,0,0
AF.to.ZF,26681.87,31119.072,39690.15,4437.202,8571.078
