"","type","ctree","0.025","median","0.975"
"1","AS.losses",3,3,3,3
"2","AS.gains",0,2,2,2
"3","ZS.losses",0,2,2,2
"4","ZS.gains",0,0,0,0
"5","AM.losses",23,24,24,24
"6","AM.gains",10,6,6,6
"7","ZM.losses",0,0,0,0
"8","ZM.gains",9,10,10,10
"9","AF.losses",0,0,0,0
"10","AF.gains",10,10,10,10
"11","ZF.losses",18,13,14,14
"12","ZF.gains",15,15,16,16
