transition,lci,median,uci,minus,plus
ZS.to.AS,0,0,0,0,0
AF.to.AS,1.103,1.167,1.219,0.064,0.052
AS.to.ZS,0,0,0,0,0
ZF.to.ZS,24.616,25.1,25.727,0.484,0.627
AS.to.AF,0.966,0.978,0.996,0.012,0.018
ZF.to.AF,64.052,65.107,66.333,1.055,1.226
ZS.to.ZF,0,0,0,0,0
AF.to.ZF,18.552,18.745,18.877,0.193,0.132
