transition,lci,median,uci,minus,plus
ZS.to.AS,22.603,23.338,24.363,0.735,1.025
AMS.to.AS,0,0,0.62,0,0.62
AS.to.ZS,0,0,0,0,0
ZMS.to.ZS,27.408,28.276,29.338,0.868,1.062
AS.to.AMS,1.475,1.514,1.537,0.039,0.023
ZMS.to.AMS,0,0,0,0,0
AMF.to.AMS,0,0,0,0,0
ZS.to.ZMS,0,0,0,0,0
AMS.to.ZMS,0,0,0,0,0
ZMF.to.ZMS,0,0,0,0,0
AMS.to.AMF,18.39,19.257,20.282,0.867,1.025
ZMF.to.AMF,0,0,0,0,0
AF.to.AMF,79.258,82.016,84.575,2.758,2.559
ZMS.to.ZMF,0,0,0,0,0
AMF.to.ZMF,4.028,4.192,4.311,0.164,0.119
ZF.to.ZMF,15.55,16.144,16.761,0.594,0.617
AMF.to.AF,13.086,13.525,13.952,0.439,0.427
ZF.to.ZF,5506.452,6678.509,8175.293,1172.057,1496.784
ZMF.to.ZF,0,0,0,0,0
AF.to.ZF,19524.801,23544.413,28669.923,4019.612,5125.51
