transition,lci,median,uci,minus,plus
ZS.to.AS,0,0,0,0,0
AF.to.AS,3.013,3.532,3.786,0.519,0.254
AS.to.ZS,0,0,0,0,0
ZF.to.ZS,10.826,11.301,11.762,0.475,0.461
AS.to.AF,1.402,1.414,1.425,0.012,0.011
ZF.to.AF,22.03,22.83,23.897,0.8,1.067
ZS.to.ZF,0,0,0,0,0
AF.to.ZF,15.719,16.048,16.344,0.329,0.296
