AphiaId,Family,Genus
267550,Micrabaciidae,Letepsammia
267559,Turbinoliidae,Lissotrochus
267560,Fungiidae,Lithophyllon
267565,Caryophylliidae,Lochmaeotrochus
267570,Poritidae,Machadoporites
267573,Faviidae,Manicina
267590,Lobophylliidae,Micromussa
267598,Euphylliidae,Montigyra
267601,Lobophylliidae,Moseleya
267605,Faviidae,Mussismilia
267606,Faviidae,Mycetophyllia
267633,Caryophylliidae,Nomlandia
267635,Turbinoliidae,Notocyathus
267637,Dendrophylliidae,Notophyllia
267659,Rhizangiidae,Oulangia
267660,Oulastreidae,Oulastrea
267664,Caryophylliidae,Oxysmilia
267668,Astrocoeniidae,Palauastrea
267677,Caryophylliidae,Paraconotrochus
267710,Stenocyathidae,Pedicellocyathus
267726,Oculinidae,Petrophyllia
267727,Caryophylliidae,Phacelocyathus
267747,Turbinoliidae,Platytrochus
267749,Turbinoliidae,Pleotrochus
267758,Flabellidae,Polymyces
267764,Schizocyathidae,Pourtalocyathus
267765,Dendrophylliidae,Pourtalopsammia
267774,Turbinoliidae,Pseudocyathoceras
267805,Caryophylliidae,Rhizosmilia
267806,Discosomidae,Rhodactis
267811,Micrabaciidae,Rhombopsammia
267813,Ricordeidae,Ricordea
267823,Fungiidae,Sandalolitha
267828,Merulinidae,Scapophyllia
267829,Oculinidae,Schizoculina
267831,Oculinidae,Sclerhelia
267839,Euphylliidae,Simplastrea
267842,Scleractinia incertae sedis,Solenastrea
267860,Astrocoeniidae,Stephanocoenia
267863,Micrabaciidae,Stephanophyllia
267870,Gardineriidae,Stolarskicyathus
267878,Caryophylliidae,Sympodangia
267894,Schizocyathidae,Temnotrochus
267904,Dendrophylliidae,Thecopsammia
267910,Turbinoliidae,Thrypticotrochus
267917,Turbinoliidae,Trematotrochus
267927,Dendrophylliidae,Trochopsammia
267928,Turbinoliidae,Tropidocyathus
267929,Stenocyathidae,Truncatoguynia
267930,Dendrophylliidae,Tubastraea
267932,Turbinoliidae,Turbinolia
267954,Fungiidae,Zoopilus
492268,Caryophylliidae,Monohedotrochus
509201,Lobophylliidae,Homophyllia
512136,Oculinidae,Bathelia
517592,Merulinidae,Astrea
716541,Fungiidae,Lobactis
716543,Fungiidae,Pleuractis
716571,Fungiidae,Danafungia
718588,Faviidae,Pseudodiploria
718691,Faviidae,Favia
718746,Merulinidae,Dipsastraea
730685,Acroporidae,Isopora
758259,Merulinidae,Orbicella
762396,Merulinidae,Paramontastraea
762425,Merulinidae,Coelastrea
764093,Poritidae,Bernardpora
766582,Lobophylliidae,Sclerophyllia
817176,Merulinidae,Paragoniastrea
886934,Lobophylliidae,Australophyllia
994374,Fungiidae,Sinuorota
